property_id,property_type,city,country_code,currency_code,price_local,size_sqm,bedrooms,bathrooms,floor_number,year_built,amenities,listing_date,status,agent_id
1083,Villa,Abu Dhabi,UAE,AED,4063141,523,0,3,0,2005,Balcony|Pool|Parking,2022-09-20,Sold,1
1198,Villa,Los Angeles,US,USD,690774,359,5,3,0,2019,Garden|Parking,2022-06-21,Available,10
1122,Apartment,Cairo,EG,EGP,4053544,530,1,2,17,2010,Security|Maid Room|Gym,2022-05-01,Rented,7
1071,Apartment,Sharjah,UAE,AED,3489411,480,0,4,23,1992,Balcony|Maid Room,2023-05-28,Under Offer,8
1098,Villa,Ajman,UAE,AED,2976938,567,6,3,0,2008,Parking|Pool|Balcony,2022-10-01,Rented,4
1007,Penthouse,New Cairo,EG,EGP,2371534,157,2,1,16,1996,Pool|Elevator|Balcony|Parking|Gym,2023-03-22,Sold,10
1200,Townhouse,London,UK,GBP,1192857,424,5,1,0,1997,Pool|Maid Room,2023-09-01,Available,2
1189,Villa,London,UK,GBP,955126,91,0,4,0,2013,Pool|Gym,2023-06-02,Rented,15
1142,Villa,Jeddah,SA,SAR,3803350,445,5,4,0,1994,Garden|Balcony|Elevator,2023-12-23,Sold,1
1138,Penthouse,Chicago,US,USD,2274887,587,3,4,21,2012,Security|Elevator,2023-12-20,Available,12
1058,Duplex,Dubai,UAE,AED,3051516,65,1,4,30,1992,Balcony|Pool|Gym|Maid Room,2023-10-13,Rented,3
1064,Duplex,Chicago,US,USD,1501034,122,3,1,3,1997,Garden|Security|Maid Room|Elevator|Balcony,2023-10-11,Under Offer,20
1152,Studio,Leeds,UK,GBP,1386115,247,0,4,23,2004,Parking|Pool|Security|Maid Room,2022-09-14,Available,12
1137,Duplex,Cairo,EG,EGP,11790691,488,3,2,22,2017,Garden|Elevator|Gym,2022-05-23,Under Offer,16
1177,Townhouse,Los Angeles,US,USD,2960286,130,2,2,0,1993,Garden|Balcony|Pool|Elevator,2022-09-13,Available,7
1129,Apartment,Houston,US,USD,1287055,526,1,2,18,1999,Elevator|Pool|Gym,2023-11-05,Available,19
1096,Penthouse,Bristol,UK,GBP,292781,385,1,2,0,2021,Balcony|Garden|Elevator,2023-10-19,Under Offer,2
1072,Townhouse,Riyadh,SA,SAR,1166144,454,4,4,0,2017,Elevator|Pool|Security|Balcony|Gym,2022-11-29,Sold,1
1074,Villa,Birmingham,UK,GBP,2192477,117,1,2,0,2018,Parking|Security|Pool|Balcony,2023-04-05,Under Offer,19
1115,Penthouse,Cairo,EG,EGP,13012522,62,3,3,22,1994,Balcony|Parking,2023-08-16,Available,7
1164,Villa,Giza,EG,EGP,6120658,64,0,4,0,2016,Gym|Maid Room|Garden|Balcony,2023-11-05,Rented,1
1155,Studio,Manchester,UK,GBP,541381,262,4,4,7,2008,Parking|Gym|Maid Room|Pool,2022-12-26,Rented,13
1086,Villa,Miami,US,USD,709560,380,5,1,0,1992,Parking|Balcony|Gym|Pool|Security,2023-12-03,Rented,6
1186,Duplex,Ajman,UAE,AED,3680390,78,3,4,22,2005,Balcony|Parking,2023-11-29,Rented,20
1038,Villa,Houston,US,USD,2470955,95,2,1,0,2001,Maid Room|Security|Balcony|Parking,2022-04-16,Available,16
1133,Penthouse,6th October,EG,EGP,10514732,66,3,1,12,1995,Garden|Security,2022-11-29,Rented,20
1136,Studio,Giza,EG,EGP,10161651,447,2,2,6,2001,Balcony|Parking|Pool|Garden,2022-11-30,Rented,8
1019,Villa,Leeds,UK,GBP,1620760,413,0,3,0,2001,Security|Balcony|Gym,2022-12-29,Rented,4
1140,Apartment,Ajman,UAE,AED,4119606,396,0,2,22,2018,Maid Room|Elevator,2022-12-23,Rented,16
1121,Studio,Houston,US,USD,1168622,437,3,2,8,2014,Security|Pool,2023-04-06,Under Offer,3
1037,Apartment,Abu Dhabi,UAE,AED,6693709,363,5,2,7,2013,Gym|Balcony|Maid Room|Parking,2023-05-11,Under Offer,7
1077,Duplex,Cairo,EG,EGP,5267195,107,5,3,29,2012,Gym|Garden|Elevator|Maid Room,2023-11-04,Sold,9
1016,Studio,New York,US,USD,2405002,115,4,1,22,2009,Garden|Gym|Security|Maid Room,2022-03-12,Sold,12
1143,Townhouse,Giza,EG,EGP,9353588,508,2,2,0,2009,Gym|Parking|Balcony|Security|Maid Room,2023-09-04,Rented,11
1114,Apartment,Cairo,EG,EGP,7912854,589,6,2,4,2022,Gym|Garden|Security|Pool|Elevator,2023-11-28,Sold,4
1055,Penthouse,Cairo,EG,EGP,-10916825,333,5,4,25,2018,Pool|Parking,2023-11-26,Sold,9
1126,Villa,London,UK,GBP,2146705,422,4,4,0,2007,Pool|Garden,2023-06-29,Rented,1
1091,Penthouse,Giza,EG,EGP,934753,361,2,4,8,2018,Garden|Balcony,2023-05-27,Rented,6
1150,Penthouse,Chicago,US,USD,2057131,417,5,3,30,2017,Balcony|Gym,2023-04-15,Under Offer,3
1018,Apartment,Dubai,UAE,AED,3098075,323,5,4,26,2013,Pool|Maid Room|Balcony|Gym|Elevator,2022-06-15,Rented,9
1104,Villa,New Cairo,EG,EGP,3700829,191,4,4,0,2022,Parking|Security|Elevator|Gym|Balcony,2023-03-28,Under Offer,1
1016,Studio,New York,US,USD,2405002,115,4,1,22,2009,Garden|Gym|Security|Maid Room,2022-03-12,Sold,12
1097,Duplex,Alexandria,EG,EGP,12053018,290,2,4,10,2010,Maid Room|Security|Gym|Parking|Elevator,2022-06-11,Rented,2
1047,Duplex,Giza,EG,EGP,14616444,54,1,3,16,2007,Maid Room|Elevator|Parking,2023-04-18,Available,4
1005,Duplex,Giza,EG,EGP,1610460,274,2,1,14,1999,Maid Room|Security|Elevator,2023-08-04,Under Offer,7
1111,Penthouse,Manchester,UK,GBP,1495424,477,6,4,7,2018,Elevator|Gym|Pool|Parking|Security,2022-07-09,Sold,4
1065,Studio,Giza,EG,EGP,12740866,463,3,2,2,1995,Garden|Parking|Gym|Security,2022-11-17,Rented,4
1183,Studio,Ras Al Khaimah,UAE,AED,3811740,102,6,2,3,2018,Garden|Pool|Security|Balcony|Gym,2023-08-10,Sold,16
1033,Townhouse,Cairo,EG,EGP,712267,419,4,4,0,2001,Elevator|Maid Room|Security|Gym|Balcony,2023-05-17,Available,14
1167,Apartment,Ajman,UAE,AED,4186832,252,4,3,2,2005,Pool|Gym|Parking|Balcony,2022-04-03,Sold,4
1149,Townhouse,Riyadh,SA,SAR,2901943,175,6,2,0,2014,Parking|Garden|Elevator|Maid Room|Security,2023-11-24,Rented,8
1161,Villa,Medina,SA,SAR,4468332,301,2,2,0,2014,Maid Room|Parking,2022-01-13,Sold,2
1120,Studio,Medina,SA,SAR,3692384,430,0,3,9,1999,Maid Room|Gym|Balcony,2022-11-04,Rented,5
1033,Townhouse,Cairo,EG,EGP,712267,419,4,4,0,2001,Elevator|Maid Room|Security|Gym|Balcony,2023-05-17,Available,14
1132,Townhouse,New York,US,USD,1784193,197,1,4,0,2001,Garden|Pool|Gym|Balcony,2022-11-12,Rented,1
1130,Townhouse,Riyadh,SA,SAR,3419935,438,1,2,0,1994,Pool|Maid Room|Security|Gym,2023-12-07,Available,5
1095,Villa,Abu Dhabi,UAE,AED,7396206,394,2,2,0,1995,Garden|Maid Room|Balcony,2023-10-13,Under Offer,7
1010,Apartment,New Cairo,EG,EGP,4360684,105,1,2,2,1992,Pool|Gym,2022-08-14,Available,19
1135,Villa,Sharjah,UAE,AED,1436568,240,5,4,0,1998,Maid Room|Parking|Security|Garden,2022-12-07,Rented,13
1169,Duplex,Dammam,SA,SAR,1858850,305,5,1,5,2017,Gym|Pool|Security|Balcony,2022-05-12,Available,15
1192,Studio,6th October,EG,EGP,5507595,47,4,1,8,2009,Garden|Elevator|Parking|Balcony,2023-05-09,Available,4
1043,Penthouse,Ras Al Khaimah,UAE,AED,7761019,122,3,4,30,1991,Gym|Maid Room,2023-09-11,Under Offer,11
1184,Villa,Manchester,UK,GBP,1946171,473,1,1,0,2015,Gym|Security,2022-09-22,Under Offer,20
1082,Studio,Giza,EG,EGP,7151393,501,0,2,29,1996,Gym|Parking|Maid Room|Pool|Balcony,2023-01-18,Sold,17
1032,Villa,Cairo,EG,EGP,1775009,66,2,1,0,1997,Garden|Balcony,2023-12-09,Sold,19
1056,Apartment,Abu Dhabi,UAE,AED,1408636,465,2,3,30,2008,Garden|Balcony|Security,2023-05-29,Under Offer,17
1144,Duplex,Cairo,EG,EGP,6763036,160,1,3,15,2001,Parking|Garden|Security|Elevator|Gym,2023-06-08,Rented,5
1069,Townhouse,Mecca,SA,SAR,641314,359,1,3,0,2017,Garden|Security,2023-09-25,Available,6
1067,Penthouse,Dubai,UAE,AED,2181102,198,4,2,24,1991,Security|Balcony|Maid Room|Garden,2023-01-12,Available,18
1145,Villa,Dammam,SA,SAR,3211838,501,1,3,0,2018,Maid Room|Security|Elevator|Balcony|Garden,2022-05-20,Sold,16
1158,Studio,New Cairo,EG,EGP,5155136,124,5,4,12,1994,Parking|Garden|Maid Room,2022-11-14,Available,3
1146,Apartment,Houston,US,USD,287133,339,6,2,24,2013,Gym|Parking,2023-04-14,Rented,6
1002,Duplex,Giza,EG,EGP,13230675,265,5,4,3,1995,Garden|Gym|Balcony|Parking,2023-12-16,Rented,6
1041,Villa,,EG,EGP,4383526,501,0,4,0,2017,Gym|Elevator|Maid Room|Parking|Balcony,2023-12-25,Under Offer,10
1034,Penthouse,Ras Al Khaimah,UAE,AED,3003686,516,6,4,21,2014,Maid Room|Garden|Balcony,2022-10-13,Rented,3
1009,Apartment,Bristol,UK,GBP,647477,110,0,4,12,2013,Security|Elevator|Parking,2022-09-29,Rented,6
1006,Penthouse,Bristol,UK,GBP,1039897,448,2,4,13,1994,Parking|Balcony|Elevator,2022-02-18,Available,3
1100,Penthouse,Manchester,UK,GBP,2195736,91,2,1,11,1992,Parking|Maid Room|Elevator|Balcony|Security,2022-01-09,Available,18
1071,Apartment,Sharjah,UAE,AED,3489411,480,0,4,23,1992,Balcony|Maid Room,2023-05-28,Under Offer,8
1102,Villa,Abu Dhabi,UAE,AED,626434,552,4,4,0,2010,Parking|Maid Room|Garden,2023-05-01,Rented,11
1063,Duplex,Cairo,EG,EGP,8083392,499,0,4,15,2015,Maid Room|Elevator|Pool|Balcony,2022-08-15,Available,17
1099,Villa,New Cairo,EG,EGP,8859508,375,6,2,0,2022,Maid Room|Pool|Balcony|Security,2023-04-24,Rented,17
1101,Villa,6th October,EG,EGP,5192934,115,2,3,0,2011,Gym|Security|Parking,2023-11-28,Available,20
1191,Penthouse,Ajman,UAE,AED,5342744,525,0,1,8,2003,Balcony|Security|Parking|Maid Room,2023-09-15,Under Offer,9
1088,Studio,Mecca,SA,SAR,4556001,548,2,2,2,2010,Parking|Garden|Maid Room|Elevator|Pool,2023-03-11,Available,3
1046,Studio,New Cairo,EG,EGP,-13250525,570,0,2,15,1997,Garden|Security|Elevator,2022-07-28,Under Offer,2
1049,Villa,New Cairo,EG,EGP,6828534,393,3,4,0,1992,Balcony|Gym|Security,2022-11-26,Sold,15
1079,Villa,Jeddah,SA,SAR,4727925,119,1,2,0,2001,Balcony|Gym|Maid Room,2022-02-08,Under Offer,17
1118,Duplex,New York,US,USD,1014368,286,3,1,7,2003,Pool|Security|Balcony,2023-11-20,Available,20
1057,Studio,Dubai,UAE,AED,7394618,271,0,2,18,2014,Gym|Security|Parking|Elevator,2023-02-09,Available,3
1087,Apartment,Los Angeles,US,USD,1820272,567,2,3,3,2013,Elevator|Parking,2022-10-20,Under Offer,7
1182,Duplex,Dubai,UAE,AED,3398765,229,4,4,4,1996,Garden|Gym|Parking|Maid Room|Pool,2022/09/27,Rented,2
1187,Townhouse,Dammam,SA,SAR,4324000,350,0,3,0,2016,Maid Room|Balcony|Parking|Elevator,2022-08-22,Sold,4
1157,Townhouse,New Cairo,EG,EGP,731415,522,4,2,0,2008,Balcony|Garden,2022-08-09,Available,9
1106,Townhouse,Abu Dhabi,UAE,AED,4324882,252,6,3,0,1992,Balcony|Maid Room|Parking|Gym|Elevator,2022-10-22,Available,9
1014,Vlla,New Cairo,EG,EGP,1459074,262,1,3,0,2001,Pool|Garden|Maid Room,2023-08-22,Rented,2
1021,Townhouse,Leeds,UK,GBP,2256602,325,2,1,0,2017,Garden|Pool|Balcony,2022-04-29,Under Offer,1
1008,Penthouse,Ras Al Khaimah,UAE,AED,6831592,422,1,2,28,2009,Gym|Parking,2022-11-28,Rented,20
1139,Penthouse,Cairo,EG,EGP,4840909,379,5,4,11,1991,Elevator|Security|Balcony|Garden|Gym,2023-06-07,Sold,8
1090,Villa,London,UK,GBP,401997,75,6,4,0,2018,Maid Room|Parking|Balcony,2023-08-04,Available,13
1017,Duplex,Cairo,EG,EGP,12955685,146,6,3,21,2006,Security|Elevator|Parking|Gym,2022-06-09,Under Offer,18
1148,Villa,Manchester,UK,GBP,1298956,399,6,1,0,1998,Garden|Balcony|Maid Room|Pool,2023-12-22,Under Offer,11
1022,Penthouse,Ajman,UAE,AED,2436767,434,4,1,19,2010,Balcony|Pool|Elevator|Parking,2022-01-02,Sold,14
1112,Penthouse,Sharjah,UAE,AED,6111364,307,5,1,29,2009,Balcony|Elevator|Garden,2023-04-22,Under Offer,4
1084,Studio,Los Angeles,US,USD,614971,104,5,4,19,2012,Garden|Security|Pool,2023-08-12,Sold,17
1165,Duplex,Los Angeles,US,USD,1120866,84,2,1,18,1993,Balcony|Pool|Garden,2023-08-18,Available,3
1103,Penthouse,Alexandria,EG,EGP,11804595,346,2,4,30,2004,Maid Room|Parking,2023-03-03,Under Offer,4
1062,Penthouse,Manchester,UK,GBP,228129,152,2,2,1,1998,Parking|Maid Room,2023-08-26,Under Offer,8
1109,Villa,Houston,US,USD,1902736,219,4,1,0,1996,Pool|Parking,2022-07-10,Under Offer,16
1089,Penthouse,Ajman,UAE,AED,4050795,210,5,4,11,2022,Pool|Maid Room|Elevator|Security,2023-09-22,Rented,12
1050,Studio,Mecca,SA,SAR,2984973,547,5,2,27,1999,Parking|Security,2022/04/13,Rented,15
1107,Studio,Miami,US,USD,1047525,530,5,3,18,2005,Gym|Garden|Elevator,2023-12-14,Under Offer,18
1125,Vlla,Abu Dhabi,UAE,AED,4695164,228,5,4,0,2004,Balcony|Gym,2023-11-16,Available,3
1059,Apartment,Riyadh,SA,SAR,-4731463,437,1,2,13,2007,Maid Room|Garden,2022-06-08,Rented,19
1116,Studio,,US,USD,904896,458,0,3,20,2012,Gym|Elevator|Balcony|Garden|Maid Room,2023-04-05,Rented,13
1173,Penthouse,Los Angeles,US,USD,878601,403,6,4,17,2009,Parking|Garden|Gym|Security,2023-08-29,Available,12
1015,Studio,Los Angeles,US,USD,2747874,80,0,2,21,2009,Security|Parking|Maid Room|Gym,2022-09-25,Sold,11
1154,Duplex,Riyadh,SA,SAR,2710335,145,6,1,20,2000,Pool|Garden,2022-05-17,Sold,13
1153,Apartment,New York,US,USD,706583,119,1,4,4,2020,Balcony|Elevator,2023/12/14,Under Offer,1
1171,Apartment,New Cairo,EG,EGP,4680005,432,0,3,29,2022,Maid Room|Garden|Security|Parking,2022-01-20,Rented,18
1048,Villa,Mecca,SA,SAR,1345114,432,3,2,0,2009,Garden|Balcony|Pool|Parking,2022-10-10,Rented,3
1174,Apartment,New York,US,USD,2358085,60,1,2,4,1999,Elevator|Pool|Balcony,2022-05-14,Under Offer,7
1094,Apartment,Medina,SA,SAR,4539930,115,1,3,26,1997,Balcony|Garden|Pool,2023-07-19,Sold,5
1166,Townhouse,Manchester,UK,GBP,1454030,442,2,3,0,2000,Parking|Pool,2022-07-27,Sold,3
1035,Villa,Dammam,SA,SAR,2517508,403,3,2,0,2016,Security|Elevator,2023-06-14,Sold,1
1080,Duplex,Giza,EG,EGP,13123029,460,3,1,21,2018,Maid Room|Balcony|Gym|Parking,2022-08-28,Sold,15
1123,Penthouse,Mecca,SA,SAR,4371464,355,5,3,1,2004,Elevator|Parking|Security,2023-04-26,Under Offer,4
1113,Penthouse,Sharjah,UAE,AED,4116637,176,1,2,16,2013,Gym|Garden|Security,2023/04/28,Sold,18
1172,Apartment,Abu Dhabi,UAE,AED,7083480,70,2,2,7,2007,Gym|Maid Room|Elevator,2023-08-22,Sold,12
1163,Studio,Riyadh,SA,SAR,4031464,358,6,3,15,2002,Security|Maid Room|Parking|Garden,2022-07-25,Under Offer,12
1044,Apartment,Ras Al Khaimah,UAE,AED,7984575,521,6,2,13,2011,Maid Room|Parking,2023-03-23,Rented,19
1188,Studio,Los Angeles,US,USD,2316363,536,1,4,5,2002,Parking|Balcony|Garden|Elevator|Pool,2022-03-09,Under Offer,6
1199,Townhouse,6th October,EG,EGP,3266286,390,3,2,0,1991,Parking|Gym|Elevator,2022-01-20,Sold,13
1012,Apartmnt,New York,US,USD,1192940,151,3,3,25,1996,Maid Room|Gym|Pool|Security,2023-03-09,Sold,5
1025,Studio,Los Angeles,US,USD,1888291,506,4,1,13,2004,Gym|Balcony,2022-09-07,Sold,13
1181,Studio,Dubai,UAE,AED,515886,531,0,3,12,2020,Garden|Balcony,2022-03-25,Rented,10
1110,Studio,Sharjah,UAE,AED,2588723,177,5,4,25,2008,Garden|Elevator|Gym|Pool|Parking,2022-12-05,Sold,4
1081,Penthouse,Ajman,UAE,AED,7623270,205,4,4,24,2000,Garden|Pool,2023-01-16,Available,16
1093,Penthouse,Birmingham,UK,GBP,1112943,245,1,1,12,2020,Parking|Garden|Pool|Elevator|Maid Room,2023-07-22,Under Offer,12
1075,Apartment,Ras Al Khaimah,UAE,AED,615472,357,2,1,29,2002,Maid Room|Garden|Balcony|Pool|Security,2022-03-20,Available,10
1168,Apartment,Medina,SA,SAR,3993338,,5,3,1,2004,Gym|Balcony|Maid Room|Pool|Garden,2022-09-13,Available,18
1045,Townhouse,Los Angeles,US,USD,2929076,335,3,4,0,1990,Elevator|Pool|Security|Garden,2022-04-01,Under Offer,15
1151,Townhouse,Dammam,SA,SAR,-4271309,385,6,3,0,2019,Gym|Elevator,2023-11-30,Available,11
1013,Apartment,Cairo,EG,EGP,7228339,210,6,2,29,2019,Balcony|Parking,2022-06-18,Rented,2
1119,Penthouse,Los Angeles,US,USD,2572104,366,2,2,28,2001,Garden|Pool|Maid Room|Elevator,2022-08-15,Rented,17
1175,Apartment,Alexandria,EG,EGP,3142476,143,2,4,25,2012,Parking|Elevator|Garden|Balcony,2023-10-17,Rented,14
1194,Penthouse,Dammam,SA,SAR,1273273,225,2,2,23,2009,Gym|Maid Room|Parking|Balcony,2023-07-27,Sold,9
1117,Penthouse,New Cairo,EG,EGP,7615687,43,1,2,8,2002,Maid Room|Parking|Gym,2023-01-24,Sold,18
1060,Studio,Abu Dhabi,UAE,AED,4867310,411,3,2,21,2003,Maid Room|Pool,2022-10-10,Sold,13
1066,Apartment,Chicago,US,USD,2483588,173,5,3,30,2008,Elevator|Balcony|Maid Room|Security|Pool,2023-11-18,Available,11
1195,Townhouse,Sharjah,UAE,AED,750274,514,4,3,0,2002,Garden|Security|Pool|Gym|Maid Room,2023-05-28,Available,7
1020,Duplex,Los Angeles,US,USD,1269064,294,2,4,26,2004,Maid Room|Parking|Balcony,2023-04-27,Sold,2
1185,Studio,Ras Al Khaimah,UAE,AED,3776594,575,6,1,9,2012,Gym|Balcony,2023-08-26,Available,19
1024,Penthouse,Leeds,UK,GBP,1974552,,4,3,7,2002,Elevator|Pool|Gym|Parking,2022-06-23,Available,16
1039,Apartment,Ajman,UAE,AED,5140404,450,6,1,17,2016,Security|Pool,2023-07-31,Under Offer,5
1127,Penthouse,Dubai,UAE,AED,4698863,223,6,4,11,2015,Garden|Balcony|Security|Pool,2023-09-27,Under Offer,7
1147,Penthouse,Chicago,US,USD,2891697,144,1,4,27,2017,Gym|Balcony|Maid Room|Elevator|Parking,2022-12-23,Available,9
1029,Villa,6th October,EG,EGP,6139317,319,3,2,0,1991,Pool|Security|Garden,2022/06/19,Rented,13
1023,Penthouse,Miami,US,USD,1837789,374,2,4,26,1990,Garden|Security|Maid Room,2023-11-12,Rented,14
1004,Studio,London,UK,GBP,1672651,413,2,4,12,2007,Security|Gym|Maid Room,2023-12-20,Available,9
1001,Duplex,New York,US,USD,735264,268,2,2,7,2022,Gym|Maid Room,2023-03-09,Available,19
1061,Apartment,Cairo,EG,EGP,14422033,289,6,3,25,1990,Elevator|Balcony|Gym,2022-08-01,Sold,18
1085,Duplex,Jeddah,SA,SAR,4764090,576,5,1,8,1991,Maid Room|Pool|Elevator|Security|Parking,2023-07-22,Available,17
1124,Penthouse,Miami,US,USD,789259,342,4,4,14,2000,Garden|Balcony|Security|Elevator,2022-09-09,Rented,19
1054,Townhouse,Ras Al Khaimah,UAE,AED,1971153,296,5,4,0,2015,Elevator|Garden|Parking|Maid Room|Pool,2022-04-20,Sold,16
1179,Townhouse,New York,US,USD,464582,204,1,4,0,2000,Balcony|Elevator,2023-09-21,Rented,20
1141,Duplex,Dubai,UAE,AED,5980256,391,0,1,30,2019,Elevator|Garden|Security,2023-06-13,Sold,8
1011,Villa,Houston,US,USD,2411711,259,2,4,0,2017,Security|Pool|Balcony|Maid Room|Parking,2022-09-06,Rented,16
1042,Townhouse,Manchester,UK,GBP,815930,113,6,2,0,2009,Maid Room|Elevator,2022-10-23,Rented,19
1076,Villa,Medina,SA,SAR,1647529,145,0,4,0,2016,Parking|Maid Room|Balcony|Elevator|Security,2023-12-26,Rented,8
1105,Duplex,Riyadh,SA,SAR,3361035,372,1,2,30,2005,Garden|Maid Room|Security|Gym,2023-04-16,Under Offer,6
1092,Duplex,Alexandria,EG,EGP,12468360,165,3,2,28,2009,Gym|Garden|Balcony|Parking,2022-03-31,Under Offer,15
1049,Villa,New Cairo,EG,EGP,6828534,393,3,4,0,1992,Balcony|Gym|Security,2022-11-26,Sold,15
1193,Apartment,Giza,EG,EGP,5459422,367,6,4,10,2004,Pool|Garden|Elevator|Balcony|Gym,2023-03-05,Rented,9
1068,Villa,Dubai,UAE,AED,1821740,387,2,3,0,2023,Gym|Elevator,2022-03-13,Sold,13
1052,Apartment,Chicago,US,USD,847784,494,6,1,16,2016,Elevator|Security|Gym|Maid Room,2022-02-27,Under Offer,11
1190,Studio,Jeddah,SA,SAR,958262,392,4,3,20,2004,Security|Balcony|Gym,2023-01-31,Available,1
1051,Penthouse,Sharjah,UAE,AED,3487749,122,5,4,21,2008,Security|Elevator,2023-07-09,Available,16
1128,Townhouse,Manchester,UK,GBP,1819860,72,5,1,0,2011,Gym|Security|Balcony,2022-02-27,Available,16
1028,Studio,London,UK,GBP,1863883,595,3,3,27,2016,Maid Room|Pool|Parking|Elevator|Security,2023-02-03,Available,14
1030,Studio,Jeddah,SA,SAR,4014294,306,1,1,23,1993,Garden|Balcony|Pool|Security|Elevator,2023-01-24,Under Offer,11
1073,Studio,Cairo,EG,EGP,1781433,387,6,3,30,1999,Elevator|Parking|Maid Room,2023-10-11,Available,17
1031,Duplex,Abu Dhabi,UAE,AED,7339961,71,0,1,24,2013,Gym|Garden|Maid Room|Security|Parking,2022-09-02,Sold,5
1159,Apartment,Jeddah,SA,SAR,661613,484,1,1,30,2012,Pool|Gym|Security,2022-05-03,Available,6
1131,Studio,6th October,EG,EGP,8730960,70,6,3,24,2008,Parking|Elevator|Garden|Security|Pool,2022-12-31,Rented,8
1027,Penthouse,Birmingham,UK,GBP,444988,321,3,2,7,2014,Parking|Gym,2022-12-10,Under Offer,9
1197,Penthouse,Los Angeles,US,USD,1949463,453,3,4,26,2023,Elevator|Balcony,2022-07-24,Under Offer,18
1036,Duplex,Leeds,UK,GBP,510294,498,5,4,11,2019,Elevator|Security|Maid Room|Garden|Parking,2022-11-10,Under Offer,8
1061,Apartment,Cairo,EG,EGP,14422033,289,6,3,25,1990,Elevator|Balcony|Gym,2022-08-01,Sold,18
1156,Villa,Miami,US,USD,1389593,441,4,2,0,1998,Gym|Garden|Pool|Parking|Balcony,2022-04-26,Sold,13
1160,Townhouse,Abu Dhabi,UAE,AED,7070511,160,1,3,0,2022,Maid Room|Security,2022-03-07,Under Offer,17
1070,Townhouse,Mecca,SA,SAR,4282171,393,1,1,0,1998,Pool|Maid Room|Gym|Parking|Elevator,2022-02-16,Sold,10
1134,Penthouse,Giza,EG,EGP,5003118,429,4,2,9,2020,Balcony|Parking|Security,2022-05-30,Available,16
1196,Villa,New Cairo,EG,EGP,5758215,122,2,2,0,2000,Security|Balcony|Gym|Garden,2022-01-05,Rented,2
1026,Apartment,New Cairo,EG,EGP,11700095,164,4,2,23,2020,Balcony|Maid Room|Garden|Security|Gym,2023-07-27,Under Offer,17
1170,Apartment,Mecca,SA,SAR,1769937,216,3,4,9,2021,Security|Elevator,2023-04-02,Sold,9
1108,Duplex,Giza,EG,EGP,2186863,142,1,1,10,2008,Maid Room|Security|Elevator|Gym|Parking,2022-01-06,Sold,5
1078,Penthouse,Jeddah,SA,SAR,2955461,357,5,1,30,2003,Elevator|Pool|Parking|Maid Room|Gym,2023-11-18,Available,5
1003,Penthouse,Sharjah,UAE,AED,3475376,510,2,1,7,2008,Gym|Pool|Elevator,2023-10-06,Under Offer,10
1162,Penthouse,London,UK,GBP,1161291,269,6,4,7,2023,Pool|Gym,2023-08-09,Under Offer,3
1176,Studio,Giza,EG,EGP,14773333,,2,3,29,2021,Security|Elevator|Garden|Pool,2022-02-03,Sold,19
1178,Studio,Jeddah,SA,SAR,4222247,399,3,4,9,1991,Maid Room|Pool|Balcony,2023-10-29,Sold,19
1053,Villa,Manchester,UK,GBP,720279,286,0,4,0,2000,Maid Room|Parking,2023/04/16,Under Offer,9
1040,Penthouse,Giza,EG,EGP,10919109,493,3,4,2,2000,Security|Parking|Elevator,2023-09-17,Available,2
1180,Apartment,Jeddah,SA,SAR,4848231,250,0,3,18,2021,Security|Pool|Balcony|Maid Room,2022-09-29,Under Offer,18
